"","biol.endpoints","hydro.endpoints","thresholds"
"1","CSCI","DS_Dur_WS",0.63
"2","OoverE","DS_Dur_WS",0.63
"3","MMI","DS_Dur_WS",0.63
"4","CSCI","DS_Mag_50",0.63
"5","OoverE","DS_Mag_50",0.63
"6","MMI","DS_Mag_50",0.63
"7","CSCI","DS_Mag_90",0.63
"8","OoverE","DS_Mag_90",0.63
"9","MMI","DS_Mag_90",0.63
"10","CSCI","DS_Tim",0.63
"11","OoverE","DS_Tim",0.63
"12","MMI","DS_Tim",0.63
"13","CSCI","FA_Dur",0.63
"14","OoverE","FA_Dur",0.63
"15","MMI","FA_Dur",0.63
"16","CSCI","FA_Mag",0.63
"17","OoverE","FA_Mag",0.63
"18","MMI","FA_Mag",0.63
"19","CSCI","FA_Tim",0.63
"20","OoverE","FA_Tim",0.63
"21","MMI","FA_Tim",0.63
"22","CSCI","Q99",0.63
"23","OoverE","Q99",0.63
"24","MMI","Q99",0.63
"25","CSCI","SP_Dur",0.63
"26","OoverE","SP_Dur",0.63
"27","MMI","SP_Dur",0.63
"28","CSCI","SP_Mag",0.63
"29","OoverE","SP_Mag",0.63
"30","MMI","SP_Mag",0.63
"31","CSCI","SP_ROC",0.63
"32","OoverE","SP_ROC",0.63
"33","MMI","SP_ROC",0.63
"34","CSCI","SP_Tim",0.63
"35","OoverE","SP_Tim",0.63
"36","MMI","SP_Tim",0.63
"37","CSCI","Wet_BFL_Dur",0.63
"38","OoverE","Wet_BFL_Dur",0.63
"39","MMI","Wet_BFL_Dur",0.63
"40","CSCI","Wet_BFL_Mag_10",0.63
"41","OoverE","Wet_BFL_Mag_10",0.63
"42","MMI","Wet_BFL_Mag_10",0.63
"43","CSCI","Wet_BFL_Mag_50",0.63
"44","OoverE","Wet_BFL_Mag_50",0.63
"45","MMI","Wet_BFL_Mag_50",0.63
"46","CSCI","Wet_Tim",0.63
"47","OoverE","Wet_Tim",0.63
"48","MMI","Wet_Tim",0.63
"49","CSCI","DS_Dur_WS",0.79
"50","OoverE","DS_Dur_WS",0.79
"51","MMI","DS_Dur_WS",0.79
"52","CSCI","DS_Mag_50",0.79
"53","OoverE","DS_Mag_50",0.79
"54","MMI","DS_Mag_50",0.79
"55","CSCI","DS_Mag_90",0.79
"56","OoverE","DS_Mag_90",0.79
"57","MMI","DS_Mag_90",0.79
"58","CSCI","DS_Tim",0.79
"59","OoverE","DS_Tim",0.79
"60","MMI","DS_Tim",0.79
"61","CSCI","FA_Dur",0.79
"62","OoverE","FA_Dur",0.79
"63","MMI","FA_Dur",0.79
"64","CSCI","FA_Mag",0.79
"65","OoverE","FA_Mag",0.79
"66","MMI","FA_Mag",0.79
"67","CSCI","FA_Tim",0.79
"68","OoverE","FA_Tim",0.79
"69","MMI","FA_Tim",0.79
"70","CSCI","Q99",0.79
"71","OoverE","Q99",0.79
"72","MMI","Q99",0.79
"73","CSCI","SP_Dur",0.79
"74","OoverE","SP_Dur",0.79
"75","MMI","SP_Dur",0.79
"76","CSCI","SP_Mag",0.79
"77","OoverE","SP_Mag",0.79
"78","MMI","SP_Mag",0.79
"79","CSCI","SP_ROC",0.79
"80","OoverE","SP_ROC",0.79
"81","MMI","SP_ROC",0.79
"82","CSCI","SP_Tim",0.79
"83","OoverE","SP_Tim",0.79
"84","MMI","SP_Tim",0.79
"85","CSCI","Wet_BFL_Dur",0.79
"86","OoverE","Wet_BFL_Dur",0.79
"87","MMI","Wet_BFL_Dur",0.79
"88","CSCI","Wet_BFL_Mag_10",0.79
"89","OoverE","Wet_BFL_Mag_10",0.79
"90","MMI","Wet_BFL_Mag_10",0.79
"91","CSCI","Wet_BFL_Mag_50",0.79
"92","OoverE","Wet_BFL_Mag_50",0.79
"93","MMI","Wet_BFL_Mag_50",0.79
"94","CSCI","Wet_Tim",0.79
"95","OoverE","Wet_Tim",0.79
"96","MMI","Wet_Tim",0.79
"97","CSCI","DS_Dur_WS",0.92
"98","OoverE","DS_Dur_WS",0.92
"99","MMI","DS_Dur_WS",0.92
"100","CSCI","DS_Mag_50",0.92
"101","OoverE","DS_Mag_50",0.92
"102","MMI","DS_Mag_50",0.92
"103","CSCI","DS_Mag_90",0.92
"104","OoverE","DS_Mag_90",0.92
"105","MMI","DS_Mag_90",0.92
"106","CSCI","DS_Tim",0.92
"107","OoverE","DS_Tim",0.92
"108","MMI","DS_Tim",0.92
"109","CSCI","FA_Dur",0.92
"110","OoverE","FA_Dur",0.92
"111","MMI","FA_Dur",0.92
"112","CSCI","FA_Mag",0.92
"113","OoverE","FA_Mag",0.92
"114","MMI","FA_Mag",0.92
"115","CSCI","FA_Tim",0.92
"116","OoverE","FA_Tim",0.92
