"site","New_Name","Biol","Threshold","alteration_50pct_time","n","overall.altered.2metric"
101010,"I01-010","ASCI","Threshold50","Altered",1,NA
101010,"I01-010","ASCI","Threshold50","Unaltered",2,"Unaltered"
101010,"I01-010","CSCI","Threshold25","Altered",1,NA
101010,"I01-010","CSCI","Threshold25","Unaltered",2,"Unaltered"
101011,"I01-011","ASCI","Threshold50","Altered",2,"Altered"
101011,"I01-011","ASCI","Threshold50","Unaltered",1,NA
101011,"I01-011","CSCI","Threshold25","Altered",1,NA
101011,"I01-011","CSCI","Threshold25","Unaltered",2,"Unaltered"
101012,"I01-012","ASCI","Threshold50","Altered",2,"Altered"
101012,"I01-012","ASCI","Threshold50","Unaltered",1,NA
101012,"I01-012","CSCI","Threshold25","Altered",1,NA
101012,"I01-012","CSCI","Threshold25","Unaltered",2,"Unaltered"
101020,"I01-020","ASCI","Threshold50","Altered",2,"Altered"
101020,"I01-020","ASCI","Threshold50","Unaltered",1,NA
101020,"I01-020","CSCI","Threshold25","Altered",1,NA
101020,"I01-020","CSCI","Threshold25","Unaltered",2,"Unaltered"
201010,"J01-010","ASCI","Threshold50","Altered",3,"Altered"
201010,"J01-010","CSCI","Threshold25","Altered",2,"Altered"
201010,"J01-010","CSCI","Threshold25","Unaltered",1,NA
201020,"J01-020","ASCI","Threshold50","Altered",3,"Altered"
201020,"J01-020","CSCI","Threshold25","Altered",2,"Altered"
201020,"J01-020","CSCI","Threshold25","Unaltered",1,NA
201030,"J01-030","ASCI","Threshold50","Altered",1,NA
201030,"J01-030","ASCI","Threshold50","Unaltered",2,"Unaltered"
201030,"J01-030","CSCI","Threshold25","Altered",1,NA
201030,"J01-030","CSCI","Threshold25","Unaltered",2,"Unaltered"
201031,"J01-031","ASCI","Threshold50","Altered",2,"Altered"
201031,"J01-031","ASCI","Threshold50","Unaltered",1,NA
201031,"J01-031","CSCI","Threshold25","Altered",1,NA
201031,"J01-031","CSCI","Threshold25","Unaltered",2,"Unaltered"
201040,"J01-040","ASCI","Threshold50","Altered",2,"Altered"
201040,"J01-040","ASCI","Threshold50","Unaltered",1,NA
201040,"J01-040","CSCI","Threshold25","Altered",1,NA
201040,"J01-040","CSCI","Threshold25","Unaltered",2,"Unaltered"
